Fasta headers	Hippo 42	Hippo 42	Hippo 42	Hippo 45	Hippo 45	Hippo 45	Hippo CH	Hippo CH	Hippo CH	Hippo W3
tr|Q3YAB3|Q3YAB3_MOUSE Kv channel-interacting protein 2 OS=Mus musculus GN=Kcnip2 PE=1 SV=1;sp|Q9JJ69|KCIP2_MOUSE Kv channel-interacting protein 2 OS=Mus musculus GN=Kcnip2 PE=1 SV=2;tr|Q3YAB1|Q3YAB1_MOUSE Kv channel-interacting protein 2 OS=Mus musculus G	190890	158580	191050	229840	220860	159370	200310	166940	167750	63446
tr|E9Q0D4|E9Q0D4_MOUSE SET-binding factor 2 OS=Mus musculus GN=Sbf2 PE=1 SV=1;tr|E9Q305|E9Q305_MOUSE SET-binding factor 2 OS=Mus musculus GN=Sbf2 PE=1 SV=1;tr|E9PXF8|E9PXF8_MOUSE SET-binding factor 2 OS=Mus musculus GN=Sbf2 PE=1 SV=1	205470	229900	213910	207330	223880	177780	149660	219990	174200	110780
tr|Q52L78|Q52L78_MOUSE Cryab protein OS=Mus musculus GN=Cryab PE=1 SV=1;sp|P23927|CRYAB_MOUSE Alpha-crystallin B chain OS=Mus musculus GN=Cryab PE=1 SV=2;tr|A0A1L1SRG5|A0A1L1SRG5_MOUSE Alpha-crystallin B chain (Fragment) OS=Mus musculus GN=Cryab PE=1 SV=1	200740	193860	206580	240230	222160	146290	166920	156900	149190	109990
tr|Q8K3E8|Q8K3E8_MOUSE Cytohesin 1 OS=Mus musculus GN=Cyth1 PE=2 SV=1;tr|Q3T9T9|Q3T9T9_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Cyth1 PE=2 SV=1;tr|Q3TZ02|Q3TZ02_MOUSE Cytohesin-1 OS=Mus musculus GN=Cyth1 PE=1 SV=1;tr|Q570Y7|Q570Y7_MOUSE MK	201080	220680	203760	205500	232060	171040	147140	206530	182210	109530
sp|Q8BGR9|UBCP1_MOUSE Ubiquitin-like domain-containing CTD phosphatase 1 OS=Mus musculus GN=Ublcp1 PE=1 SV=1	217310	219600	222920	216030	213000	179170	164510	208840	162010	64327
sp|Q8BGR6|ARL15_MOUSE ADP-ribosylation factor-like protein 15 OS=Mus musculus GN=Arl15 PE=1 SV=1;tr|B7ZN40|B7ZN40_MOUSE Arl15 protein OS=Mus musculus GN=Arl15 PE=2 SV=1	212400	177200	190040	224530	217510	166020	194610	211520	195680	70122
tr|Q7JCZ0|Q7JCZ0_MOUSE ATP synthase protein 8 OS=Mus musculus GN=mt-Atp8 PE=1 SV=1;tr|A3R404|A3R404_MOUSE ATP synthase protein 8 OS=Mus musculus GN=ATP8 PE=3 SV=1;tr|A0A141CM32|A0A141CM32_MOUSE ATP synthase protein 8 OS=Mus musculus GN=ATP8 PE=3 SV=1;sp|P0	195880	189640	204580	217920	213690	176210	163570	219890	184900	120640
tr|Q9CZB4|Q9CZB4_MOUSE MICOS complex subunit OS=Mus musculus GN=Apool PE=2 SV=1;sp|Q78IK4|MIC27_MOUSE MICOS complex subunit Mic27 OS=Mus musculus GN=Apool PE=1 SV=1;tr|B1AV14|B1AV14_MOUSE MICOS complex subunit OS=Mus musculus GN=Apool PE=1 SV=1	188500	200940	199890	224970	206310	176290	158840	189860	169520	45976
sp|Q9JJJ7-4|PORCN_MOUSE Isoform 4 of Protein-serine O-palmitoleoyltransferase porcupine OS=Mus musculus GN=Porcn;sp|Q9JJJ7-3|PORCN_MOUSE Isoform 3 of Protein-serine O-palmitoleoyltransferase porcupine OS=Mus musculus GN=Porcn;sp|Q9JJJ7-2|PORCN_MOUSE Isofor	207000	214110	214190	202340	220110	185060	153650	216630	169930	98280
tr|Q3ZAT1|Q3ZAT1_MOUSE Potassium inwardly-rectifying channel J3 OS=Mus musculus GN=Kcnj3 PE=1 SV=1;sp|P63250|KCNJ3_MOUSE G protein-activated inward rectifier potassium channel 1 OS=Mus musculus GN=Kcnj3 PE=1 SV=1;tr|Q8VHS3|Q8VHS3_MOUSE G protein-gated K+ c	203980	191910	207830	214060	219300	174130	171240	200830	173660	86210
tr|Q7GIP5|Q7GIP5_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus GN=mt-Nd3 PE=2 SV=1;tr|A0A141CM22|A0A141CM22_MOUSE NADH-ubiquinone oxidoreductase chain 3 OS=Mus musculus GN=ND3 PE=3 SV=1;tr|A0A075DCW1|A0A075DCW1_MOUSE NADH-ubiquinone oxidored	180640	184350	198760	212600	205690	188290	160970	193670	177690	57319
sp|Q9ERL9|GCYA3_MOUSE Guanylate cyclase soluble subunit alpha-3 OS=Mus musculus GN=Gucy1a3 PE=1 SV=2	186290	203300	214410	206510	225620	174080	178570	216250	199890	114120
sp|Q8CCJ3|UFL1_MOUSE E3 UFM1-protein ligase 1 OS=Mus musculus GN=Ufl1 PE=1 SV=2;sp|Q8CCJ3-1|UFL1_MOUSE Isoform 2 of E3 UFM1-protein ligase 1 OS=Mus musculus GN=Ufl1	192770	199190	207980	201380	233580	170410	155000	199100	179770	106960
tr|Q3UMQ2|Q3UMQ2_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Dr1 PE=2 SV=1;sp|Q91WV0|NC2B_MOUSE Protein Dr1 OS=Mus musculus GN=Dr1 PE=1 SV=1	171780	155720	166640	234140	193210	177970	180380	159860	173650	60117
sp|Q3UYV9|NCBP1_MOUSE Nuclear cap-binding protein subunit 1 OS=Mus musculus GN=Ncbp1 PE=1 SV=2	188990	204760	188380	189620	236650	179010	149060	212530	182360	114350
"tr|Q52PE3|Q52PE3_MOUSE Translocon-associated protein alpha, muscle specific isoform OS=Mus musculus GN=Ssr1 PE=2 SV=1;tr|Q3TV94|Q3TV94_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ssr1 PE=2 SV=1;sp|Q9CY50|SSRA_MOUSE Translocon-associated prote"	193040	177720	188830	219400	196590	188880	169300	177820	171020	110500
"tr|A0A1V0DNR6|A0A1V0DNR6_MOUSE PTENbeta OS=Mus musculus GN=PTEN PE=2 SV=1;tr|A0A024QYR9|A0A024QYR9_MOUSE Mitochondrial PTENalpha OS=Mus musculus GN=Pten PE=2 SV=1;sp|O08586|PTEN_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specific"	215640	226930	209560	203660	220940	179170	154570	217100	186640	82393
"tr|B8JK56|B8JK56_MOUSE Adenylate cyclase type 3 OS=Mus musculus GN=Adcy3 PE=1 SV=1;tr|Q80TY9|Q80TY9_MOUSE Adenylate cyclase 3, isoform CRA_b (Fragment) OS=Mus musculus GN=Adcy3 PE=2 SV=1;sp|Q8VHH7|ADCY3_MOUSE Adenylate cyclase type 3 OS=Mus musculus GN=Adc"	193520	200810	219270	210960	205500	186480	159530	198700	176080	128510
sp|Q9DC51|GNAI3_MOUSE Guanine nucleotide-binding protein G(k) subunit alpha OS=Mus musculus GN=Gnai3 PE=1 SV=3;tr|Q3TJH1|Q3TJH1_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Gnai3 PE=2 SV=1	201270	193730	212480	204020	226510	172380	162280	211110	181650	91711
sp|Q0KL01|UBX2B_MOUSE UBX domain-containing protein 2B OS=Mus musculus GN=Ubxn2b PE=1 SV=2	155950	157230	180440	220310	212360	169460	210150	168370	185910	153950
sp|Q91VT4|CBR4_MOUSE Carbonyl reductase family member 4 OS=Mus musculus GN=Cbr4 PE=1 SV=2;tr|D3Z6C4|D3Z6C4_MOUSE Carbonyl reductase family member 4 (Fragment) OS=Mus musculus GN=Cbr4 PE=1 SV=1	211650	203910	208980	200310	216200	185450	156860	220080	192110	141710
tr|Q3U3A7|Q3U3A7_MOUSE Metastasis-associated protein MTA3 OS=Mus musculus GN=Mta3 PE=1 SV=1;tr|E9Q794|E9Q794_MOUSE Metastasis-associated protein MTA3 OS=Mus musculus GN=Mta3 PE=1 SV=1;tr|A4FTZ3|A4FTZ3_MOUSE Mta3 protein OS=Mus musculus GN=Mta3 PE=2 SV=1;tr	199230	297300	200550	216190	214510	171090	145260	207380	173680	70824
tr|E9PXB0|E9PXB0_MOUSE Calcium-independent phospholipase A2-gamma OS=Mus musculus GN=Pnpla8 PE=1 SV=1;tr|E9QAC9|E9QAC9_MOUSE Calcium-independent phospholipase A2-gamma OS=Mus musculus GN=Pnpla8 PE=1 SV=1;sp|Q8K1N1|PLPL8_MOUSE Calcium-independent phospholip	204190	205500	216210	200130	216450	183310	159230	230600	196720	92112
sp|Q3TPE9|ANKY2_MOUSE Ankyrin repeat and MYND domain-containing protein 2 OS=Mus musculus GN=Ankmy2 PE=1 SV=1;sp|Q3TPE9-2|ANKY2_MOUSE Isoform 2 of Ankyrin repeat and MYND domain-containing protein 2 OS=Mus musculus GN=Ankmy2	201460	205250	214820	203900	220780	174710	148000	202940	169590	76122
"sp|P07934|PHKG1_MOUSE Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform OS=Mus musculus GN=Phkg1 PE=1 SV=3"	199800	203730	203180	208360	217680	173070	147280	190880	169520	142180
tr|B2RRU7|B2RRU7_MOUSE Hyaluronan and proteoglycan link protein 2 OS=Mus musculus GN=Hapln2 PE=2 SV=1;sp|Q9ESM3|HPLN2_MOUSE Hyaluronan and proteoglycan link protein 2 OS=Mus musculus GN=Hapln2 PE=1 SV=1	230520	234650	231450	212820	234290	150870	151610	212290	200910	116810
sp|Q9Z0V2|KCND2_MOUSE Potassium voltage-gated channel subfamily D member 2 OS=Mus musculus GN=Kcnd2 PE=1 SV=1	193580	228780	206720	213970	224350	159000	151640	220070	220160	134800
tr|E9QN99|E9QN99_MOUSE Protein ABHD14B OS=Mus musculus GN=Abhd14b PE=1 SV=1;tr|A0A087WRJ2|A0A087WRJ2_MOUSE Protein ABHD14B (Fragment) OS=Mus musculus GN=Abhd14b PE=1 SV=1;tr|A0A087WPF8|A0A087WPF8_MOUSE Protein ABHD14B (Fragment) OS=Mus musculus GN=Abhd14b 	159800	171170	207220	213180	215300	168810	169810	174810	152540	84398
"tr|Q80ZM5|Q80ZM5_MOUSE H1 histone family, member X OS=Mus musculus GN=H1fx PE=1 SV=1"	196750	204670	176200	185730	246120	165410	151040	221450	207290	115580
tr|Q52JJ6|Q52JJ6_MOUSE Aminopeptidase OS=Mus musculus GN=Enpep PE=1 SV=1;sp|P16406|AMPE_MOUSE Glutamyl aminopeptidase OS=Mus musculus GN=Enpep PE=1 SV=1;tr|Q8CD51|Q8CD51_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Enpep PE=2 SV=1	175720	192140	209330	209100	210230	177730	175360	203830	205310	100070
"tr|Q3UZR8|Q3UZR8_MOUSE Eukaryotic translation initiation factor 2B, subunit 1 (Alpha) OS=Mus musculus GN=Eif2b1 PE=1 SV=1;sp|Q99LC8|EI2BA_MOUSE Translation initiation factor eIF-2B subunit alpha OS=Mus musculus GN=Eif2b1 PE=1 SV=1"	206540	208430	206380	198570	208180	190240	150110	206020	172580	82827
tr|Q80U52|Q80U52_MOUSE Sodium/hydrogen exchanger (Fragment) OS=Mus musculus GN=Slc9a6 PE=2 SV=1;tr|A1L3P4|A1L3P4_MOUSE Sodium/hydrogen exchanger OS=Mus musculus GN=Slc9a6 PE=1 SV=1;tr|Q8BTG0|Q8BTG0_MOUSE Sodium/hydrogen exchanger OS=Mus musculus GN=Slc9a6 	195500	215290	211240	220470	206850	169620	166740	204660	168810	70834
tr|Q3U047|Q3U047_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Pigt PE=2 SV=1;sp|Q8BXQ2|PIGT_MOUSE GPI transamidase component PIG-T OS=Mus musculus GN=Pigt PE=1 SV=2;tr|Q3U5R2|Q3U5R2_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Pig	195730	213570	199110	209490	214590	172740	158560	200200	167580	118000
"tr|G3X9S1|G3X9S1_MOUSE Protein FAM13C OS=Mus musculus GN=Fam13c PE=1 SV=1;tr|Q8BLV7|Q8BLV7_MOUSE Family with sequence similarity 13, member C OS=Mus musculus GN=Fam13c PE=1 SV=1;sp|Q9DBR2|FA13C_MOUSE Protein FAM13C OS=Mus musculus GN=Fam13c PE=1 SV=2;tr|A1"	170030	178550	190230	214360	217590	164690	180840	168820	173030	92240
tr|F6THL5|F6THL5_MOUSE Protein polybromo-1 (Fragment) OS=Mus musculus GN=Pbrm1 PE=1 SV=1;tr|D3YYF2|D3YYF2_MOUSE Protein polybromo-1 (Fragment) OS=Mus musculus GN=Pbrm1 PE=1 SV=8;tr|E9Q7L3|E9Q7L3_MOUSE Protein polybromo-1 OS=Mus musculus GN=Pbrm1 PE=1 SV=1;	136100	146680	186250	176060	240620	179350	142890	258710	349530	130740
sp|Q3TBL6|TP8L3_MOUSE Tumor necrosis factor alpha-induced protein 8-like protein 3 OS=Mus musculus GN=Tnfaip8l3 PE=1 SV=1	176160	218480	202890	210660	214770	170520	160680	179970	155130	70545
"tr|A0A1S6GWJ2|A0A1S6GWJ2_MOUSE Uncharacterized protein OS=Mus musculus PE=2 SV=1;tr|A0A0A0MQ68|A0A0A0MQ68_MOUSE Glutaryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Gcdh PE=1 SV=1;sp|Q60759|GCDH_MOUSE Glutaryl-CoA dehydrogenase, mitochondrial OS=Mu"	194240	207700	225260	199980	212160	183790	126630	192590	139170	79348
"tr|Q8VCF9|Q8VCF9_MOUSE Thymidine kinase 2, mitochondrial OS=Mus musculus GN=Tk2 PE=2 SV=1;tr|Q8BN51|Q8BN51_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Tk2 PE=1 SV=1;sp|Q9R088|KITM_MOUSE Thymidine kinase 2, mitochondrial OS=Mus musculus GN=Tk2"	189440	185340	214310	202780	212160	180920	165280	208570	176290	177830
tr|Q53YN4|Q53YN4_MOUSE Protein kinase C delta type OS=Mus musculus GN=Prkcd PE=2 SV=1;tr|Q3TGE4|Q3TGE4_MOUSE Protein kinase C delta type OS=Mus musculus GN=Prkcd PE=2 SV=1;sp|P28867|KPCD_MOUSE Protein kinase C delta type OS=Mus musculus GN=Prkcd PE=1 SV=3;	242520	275350	242350	213550	244460	136410	180520	177320	160350	100680
tr|Q6IR38|Q6IR38_MOUSE Robo4 protein OS=Mus musculus GN=Robo4 PE=2 SV=1;tr|E9QN68|E9QN68_MOUSE Roundabout homolog 4 OS=Mus musculus GN=Robo4 PE=1 SV=2;tr|A0A0R4J197|A0A0R4J197_MOUSE Roundabout homolog 4 OS=Mus musculus GN=Robo4 PE=1 SV=1;tr|A0A1L1SUF8|A0A1	201670	184580	193950	206780	205330	182060	143590	186160	176850	65995
tr|Q4FK57|Q4FK57_MOUSE Ero1l protein OS=Mus musculus GN=Ero1l PE=1 SV=1;sp|Q8R180|ERO1A_MOUSE ERO1-like protein alpha OS=Mus musculus GN=Ero1a PE=1 SV=2;tr|Q4FJZ3|Q4FJZ3_MOUSE Ero1l protein OS=Mus musculus GN=Ero1l PE=2 SV=1	208690	185540	196490	207620	193480	192770	153930	213520	188960	134820
sp|O88967|YMEL1_MOUSE ATP-dependent zinc metalloprotease YME1L1 OS=Mus musculus GN=Yme1l1 PE=1 SV=1	189650	187800	198890	204400	209670	179600	153960	194630	171710	80229
tr|Q543E2|Q543E2_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Slc25a15 PE=1 SV=1;sp|Q9WVD5|ORNT1_MOUSE Mitochondrial ornithine transporter 1 OS=Mus musculus GN=Slc25a15 PE=1 SV=1;tr|Q6P8P5|Q6P8P5_MOUSE Slc25a15 protein OS=Mus musculus GN=Slc25	184860	206820	193910	200210	219380	173990	163850	200050	168790	134290
tr|G3X8U3|G3X8U3_MOUSE MCG6895 OS=Mus musculus GN=2210016F16Rik PE=1 SV=1	210760	208680	226190	195790	228340	168680	161570	224280	180800	92065
tr|Q3USW3|Q3USW3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Opalin PE=1 SV=1;sp|Q7M750|OPALI_MOUSE Opalin OS=Mus musculus GN=Opalin PE=1 SV=1	187050	161320	210760	221330	228700	142680	164980	155940	134740	50373
sp|Q8BLV3|SL9A7_MOUSE Sodium/hydrogen exchanger 7 OS=Mus musculus GN=Slc9a7 PE=1 SV=1	185870	184720	191860	196070	200220	196120	198770	214410	208610	61230
tr|Q3UH45|Q3UH45_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Tecpr2 PE=1 SV=1;tr|B9EHS4|B9EHS4_MOUSE Uncharacterized protein OS=Mus musculus GN=Tecpr2 PE=2 SV=1;tr|Q6ZQE1|Q6ZQE1_MOUSE MKIAA0297 protein (Fragment) OS=Mus musculus GN=Tecpr2 PE=	192760	200520	205910	200910	218680	172740	149180	207720	176290	138390
sp|Q99MR0|ACL6B_MOUSE Actin-like protein 6B OS=Mus musculus GN=Actl6b PE=1 SV=1;tr|F8WI57|F8WI57_MOUSE Actin-like protein 6B OS=Mus musculus GN=Actl6b PE=1 SV=1	181080	172560	178710	221030	198580	172370	156910	182860	161050	72445
tr|F8WIB1|F8WIB1_MOUSE ADP-ribosylation factor-like protein 1 (Fragment) OS=Mus musculus GN=Arl1 PE=1 SV=1;tr|Q14AC7|Q14AC7_MOUSE ADP-ribosylation factor-like 1 OS=Mus musculus GN=Arl1 PE=1 SV=1;sp|P61211|ARL1_MOUSE ADP-ribosylation factor-like protein 1 O	184510	185760	191190	219560	202620	169350	158480	193820	174940	111300
tr|Q3US82|Q3US82_MOUSE Putative uncharacterized protein OS=Mus musculus GN=C1qb PE=2 SV=1;tr|Q3U6I5|Q3U6I5_MOUSE Putative uncharacterized protein OS=Mus musculus GN=C1qb PE=2 SV=1;sp|P14106|C1QB_MOUSE Complement C1q subcomponent subunit B OS=Mus musculus G	214890	197540	213990	198090	227100	165630	137730	194590	147360	63504
sp|Q3UYG8|MACD2_MOUSE O-acetyl-ADP-ribose deacetylase MACROD2 OS=Mus musculus GN=Macrod2 PE=1 SV=1;tr|A2AS33|A2AS33_MOUSE O-acetyl-ADP-ribose deacetylase MACROD2 OS=Mus musculus GN=Macrod2 PE=1 SV=1	176340	176350	191440	213090	209790	167910	173050	190400	178430	85428
tr|E9Q317|E9Q317_MOUSE Histone deacetylase complex subunit SAP18 OS=Mus musculus GN=Sap18b PE=1 SV=1;tr|Q4FZH3|Q4FZH3_MOUSE MCG49778 OS=Mus musculus GN=Sap18 PE=2 SV=1;sp|O55128|SAP18_MOUSE Histone deacetylase complex subunit SAP18 OS=Mus musculus GN=Sap18	197310	180920	189550	208920	208320	173470	167410	204470	183340	79623
tr|G5E8H1|G5E8H1_MOUSE Glutamate receptor 2 OS=Mus musculus GN=Gria2 PE=1 SV=1;tr|Q80VM6|Q80VM6_MOUSE Gria2 protein OS=Mus musculus GN=Gria2 PE=2 SV=1	187560	194310	216460	205880	230520	154250	164600	202200	161500	69602
tr|E9Q4N6|E9Q4N6_MOUSE AT-rich interactive domain 1B (SWI-like) OS=Mus musculus GN=Arid1b PE=1 SV=1;tr|E9Q6R4|E9Q6R4_MOUSE AT-rich interactive domain 1B (SWI-like) OS=Mus musculus GN=Arid1b PE=1 SV=1;tr|E9Q4N7|E9Q4N7_MOUSE AT-rich interactive domain 1B (SW	204850	185870	191220	207690	210090	172740	148710	192980	170960	94752
"tr|Q3U9C4|Q3U9C4_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Mrpl44 PE=2 SV=1;tr|Q3UKG1|Q3UKG1_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Mrpl44 PE=2 SV=1;sp|Q9CY73|RM44_MOUSE 39S ribosomal protein L44, mi"	187610	201930	196720	210950	204300	175230	152730	194870	166780	93618
tr|Q6PJ91|Q6PJ91_MOUSE Gstm7 protein OS=Mus musculus GN=Gstm7 PE=2 SV=1	211380	206400	196130	200470	227000	162570	139010	191640	149960	94399
"sp|P57784|RU2A_MOUSE U2 small nuclear ribonucleoprotein A OS=Mus musculus GN=Snrpa1 PE=1 SV=2;tr|G5E883|G5E883_MOUSE Small nuclear ribonucleoprotein polypeptide A, isoform CRA_a OS=Mus musculus GN=Snrpa1 PE=1 SV=1;tr|Q8BSH5|Q8BSH5_MOUSE Putative uncharac"	177810	174050	187820	216610	203380	170000	175530	183080	165580	97197
sp|Q8BZ60|STON2_MOUSE Stonin-2 OS=Mus musculus GN=Ston2 PE=1 SV=1	188480	209470	199130	204450	200380	184360	158950	236330	182920	108820
"sp|Q924T2|RT02_MOUSE 28S ribosomal protein S2, mitochondrial OS=Mus musculus GN=Mrps2 PE=1 SV=1;tr|Q8BQ99|Q8BQ99_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Mrps2 PE=2 SV=1"	191820	199160	202520	196950	215660	176070	155380	198060	170000	117340
tr|Q3TT51|Q3TT51_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Scg5 PE=1 SV=1;sp|P12961|7B2_MOUSE Neuroendocrine protein 7B2 OS=Mus musculus GN=Scg5 PE=1 SV=1	182900	143840	192250	230880	217480	140150	407300	243080	352820	113320
tr|Q6PDC2|Q6PDC2_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Tmed9 PE=1 SV=1;tr|Q9CZL0|Q9CZL0_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Tmed9 PE=2 SV=1;tr|Q3TFU8|Q3TFU8_MOUSE Putative uncharacterized protein OS=Mus musculus GN	184870	171340	173790	225750	183770	178800	164100	177610	168000	187080
sp|O70274|TP4A2_MOUSE Protein tyrosine phosphatase type IVA 2 OS=Mus musculus GN=Ptp4a2 PE=1 SV=1;tr|Q3UXF9|Q3UXF9_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Ptp4a2 PE=2 SV=1	207050	204330	204830	197390	214360	176450	159540	217290	184600	196770
"tr|B2RUE0|B2RUE0_MOUSE Potassium voltage-gated channel, Shal-related family, member 3 OS=Mus musculus GN=Kcnd3 PE=2 SV=1;sp|Q9Z0V1|KCND3_MOUSE Potassium voltage-gated channel subfamily D member 3 OS=Mus musculus GN=Kcnd3 PE=1 SV=1;tr|Q3UH54|Q3UH54_MOUSE Po"	179280	192190	196240	206170	199770	182180	146210	205050	160490	124020
"tr|A0A1W2P7K6|A0A1W2P7K6_MOUSE RAB3A interacting protein, isoform CRA_b OS=Mus musculus GN=Rab3ip PE=1 SV=1;sp|Q68EF0|RAB3I_MOUSE Rab-3A-interacting protein OS=Mus musculus GN=Rab3ip PE=1 SV=1"	183220	202450	193980	212280	202390	173310	169690	201640	163210	63370
tr|Q4GX45|Q4GX45_MOUSE Peroxisomal N1-acetyl-spermine/spermidine OS=Mus musculus GN=Paox PE=2 SV=1;sp|Q8C0L6|PAOX_MOUSE Peroxisomal N(1)-acetyl-spermine/spermidine oxidase OS=Mus musculus GN=Paox PE=1 SV=3;tr|Q3TXR6|Q3TXR6_MOUSE Peroxisomal N(1)-acetyl-spe	186030	197340	202140	200550	212410	174050	155240	204290	176650	141450
sp|Q80Y55|BSDC1_MOUSE BSD domain-containing protein 1 OS=Mus musculus GN=Bsdc1 PE=1 SV=1	175340	168620	180460	218550	198130	170300	185240	175500	177140	96875
tr|B0R091|B0R091_MOUSE Calcineurin B homologous protein 1 OS=Mus musculus GN=Chp1 PE=1 SV=1;sp|P61022|CHP1_MOUSE Calcineurin B homologous protein 1 OS=Mus musculus GN=Chp1 PE=1 SV=2	173870	154290	185720	219810	201950	165080	210000	174300	185090	111310
sp|Q8R480|NUP85_MOUSE Nuclear pore complex protein Nup85 OS=Mus musculus GN=Nup85 PE=1 SV=1	202880	204470	196570	189100	226830	170820	152150	220110	179390	102050
"sp|Q6PE15-2|ABHDA_MOUSE Isoform 2 of Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10;sp|Q6PE15|ABHDA_MOUSE Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=1 SV=1;tr|F6X5P5|F6X5P5_"	191860	186240	188830	214390	193490	178740	149970	195010	165530	377380
tr|D3Z030|D3Z030_MOUSE F-actin-uncapping protein LRRC16A OS=Mus musculus GN=Carmil1 PE=1 SV=2;sp|Q6EDY6-3|CARL1_MOUSE Isoform 3 of F-actin-uncapping protein LRRC16A OS=Mus musculus GN=Carmil1;sp|Q6EDY6|CARL1_MOUSE F-actin-uncapping protein LRRC16A OS=Mus m	180050	194270	199530	190920	218950	176520	144410	200830	181670	101830
tr|Q3TMD4|Q3TMD4_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Cnot4 PE=2 SV=1;tr|Q05BG1|Q05BG1_MOUSE CCR4-NOT transcription complex subunit 4 OS=Mus musculus GN=Cnot4 PE=1 SV=1;tr|E9QA19|E9QA19_MOUSE CCR4-NOT transcription complex subunit 4 OS	164340	174590	178750	226180	201860	157330	183100	170880	166370	131340
"tr|Q545M7|Q545M7_MOUSE Parvalbumin, isoform CRA_a OS=Mus musculus GN=Pvalb PE=1 SV=1;sp|P32848|PRVA_MOUSE Parvalbumin alpha OS=Mus musculus GN=Pvalb PE=1 SV=3"	205460	174970	202100	239790	203410	141790	206670	222490	244880	224880
sp|Q80TG9|LRFN2_MOUSE Leucine-rich repeat and fibronectin type-III domain-containing protein 2 OS=Mus musculus GN=Lrfn2 PE=1 SV=2	167460	182820	189890	208170	206530	170270	166900	186890	168460	93311
tr|Q80U51|Q80U51_MOUSE MKIAA0275 protein (Fragment) OS=Mus musculus GN=Spock2 PE=2 SV=1;sp|Q9ER58|TICN2_MOUSE Testican-2 OS=Mus musculus GN=Spock2 PE=1 SV=1;tr|Q6PAN0|Q6PAN0_MOUSE Spock2 protein OS=Mus musculus GN=Spock2 PE=2 SV=1	161310	156430	173970	219960	189140	175600	190610	183240	193610	116990
sp|Q7TSS2|UB2Q1_MOUSE Ubiquitin-conjugating enzyme E2 Q1 OS=Mus musculus GN=Ube2q1 PE=1 SV=2;sp|Q7TSS2-2|UB2Q1_MOUSE Isoform 2 of Ubiquitin-conjugating enzyme E2 Q1 OS=Mus musculus GN=Ube2q1	188200	199240	196230	204220	205650	174750	161800	200440	168860	68456
sp|Q8K0V4|CNOT3_MOUSE CCR4-NOT transcription complex subunit 3 OS=Mus musculus GN=Cnot3 PE=1 SV=1;tr|A0A0U1RNN8|A0A0U1RNN8_MOUSE CCR4-NOT transcription complex subunit 3 (Fragment) OS=Mus musculus GN=Cnot3 PE=1 SV=1;tr|Q6A015|Q6A015_MOUSE MKIAA0691 protein	188060	183290	197060	204580	206390	173320	163770	187600	175020	126630
sp|Q80ZJ7|SNX32_MOUSE Sorting nexin-32 OS=Mus musculus GN=Snx32 PE=2 SV=1	185890	201130	205560	203410	207070	173550	158060	185590	154410	71925
tr|B2RXL7|B2RXL7_MOUSE Kidins220 protein OS=Mus musculus GN=Kidins220 PE=2 SV=1;tr|Q80SX9|Q80SX9_MOUSE Kidins220 protein (Fragment) OS=Mus musculus GN=Kidins220 PE=2 SV=1;tr|Q80TG7|Q80TG7_MOUSE MKIAA1250 protein (Fragment) OS=Mus musculus GN=mKIAA1250 PE=4	194880	183130	195200	195410	211770	175960	157980	221610	184130	90374
sp|P98200|AT8A2_MOUSE Phospholipid-transporting ATPase IB OS=Mus musculus GN=Atp8a2 PE=1 SV=1	182450	183340	197240	204790	198740	179340	156700	210610	183270	121220
tr|A0A0R4J170|A0A0R4J170_MOUSE Transcription activator BRG1 OS=Mus musculus GN=Smarca4 PE=1 SV=1;sp|Q3TKT4|SMCA4_MOUSE Transcription activator BRG1 OS=Mus musculus GN=Smarca4 PE=1 SV=1;sp|Q3TKT4-2|SMCA4_MOUSE Isoform 2 of Transcription activator BRG1 OS=Mu	202970	210160	182540	185330	225100	171610	146190	227040	183900	83815
